50 Cent
Jonathan Franzen
Jonathan Frink
Jonathan Frink Sr.
José Canseco
Josh
Josh Groban
Joshua Quimby
Jr. Duff
Judah Ben-Hur
Judge Constance Harm
Judge Muntz
Julio
Julius Hibbert
Junior
Justin
Justin Bieber
Kaiser Wilhelm II
Kareem Abdul-Jabbar
Karl
Kavi Nahasapeemapetilon
Kearney Zzyzwicz, Jr.
Keith
Ken Griffey, Jr.
Kendall Spuckler
Keneally
Kenny
Kevin
Kevin Spuckler
Killer Krusty Doll
Killer Toupé
Kim Jong-il
King Henry VIII
King Winter
Kitenge
Kobe Bryant
Kurt Cobain
Kurt Hardwick
Kurt Loder
Kyle
Kyle LaBianco
Lambert Gobel
Lambert Gobel, Jr.
Lamuel
Lance Bouvier
Lance DuBois
Langdon Alger
Lard Lad
Larry
Larry Burns
Larry Davis
Larry H. Lawyer, Jr.
Larry King
League of Evil
Leavelle
Lee Carvallo
Lee Majors
Legs
Lenny Leonard
Leo G Clark
Leo Trousseau
Leon Kompowsky
Leonard Nimoy
Leopold
Leprechaun
Lester
Lester
Levi Bernstein
Lewis Clark
Lewis Lapham
Lifeways Editor
Lionel Hutz
Lloyd
Lord Kraylac
Lord Montymort
Lord Nose
Lorocamoco Shaah
Lost in Space
Lou
Louie
Louis DuLac
Lowblow
Lucas Bortner
Lucky
Lucky Jim
Ludwig van Beethoven
Lugash
Luigi
Luke Perry
Luke Skywalker
Lyle Lanley
Lyle McCarthy
M-Z Counselor
M.C Birthday
MacArthur Parker
Maitre D'
Major Nougat
Major Preston
Malcolm Gladwell
Malicious Krubb
Mall Cop
Marcel Bouvier
Mario
Mark
Mark Hamill
Mark Wiggum
Marlin
Martin Prince
Marty
Marv Albert
Marvin Cobain
Marvin Monroe
Master Sushi Chef
Matt Groening
Maurice L'eau
Maurice Trousseau
Mav
Mayan Homer
Mayan priest
Mayo Clinic Doctor
McBain
McGarnagle
Meathook
Mega Legs
Megatron
Mel
Mel Brooks
Melvin
Melvin Van Horne
Melvis Spuckler
Merl
Merl Reagle
Mervin Monroe
Mesmerino
Metallica
Meteor Alien
Michael Cera
Michael Chabon
Michael D'Amico
Michael Ironside
Michael Moore
Michael Moore
Michael York
Mickey Rooney
Micro Itches
Mike
Milford Rounds
Milhoose
Milhouse
Milhouse Rounds
Milhouse Rounds II
Milhuuse Van Huuten
Milo
Milton Burkhart
Milton Haas
Mini-Ha-Ha
Mister Honeybunny
Mitch Albom
Moe Szyslak Connection
Moe-looking Satan
Moldy
Molloy
Moonstar Bouvier-Jones
Morgan
Morgan Spuckler
Morningwood Guard
Mort Krupp
Morty Smith
Moses
Moshe Bernstein
Mr Leonard
Mr. Bean
Mr. Becker
Mr. Belew
Mr. Bergstrom
Mr. Black
Mr. Blackheart
Mr. Bont
Mr. Borton
Mr. Clark
Mr. Costington
Mr. Doyle
Mr. Estes
Mr. Fisk
Mr. Gammel
Mr. Glascock
Mr. Hobbes
Mr. Hoxha
Mr. Johansen
Mr. Jones
Mr. Krabappel
Mr. Kupferberg
Mr. Lacoste
Mr. Mackleberry
Mr. McGreg
Mr. Mitchell
Mr. Montone
Mr. Movie Phone
Mr. Palaccio
Mr. Potato Head
Mr. Powell
Mr. Powers
Mr. Rhenquist
Mr. Schindler
Mr. Smee
Mr. Snrub
Mr. Somerset
Mr. T
Mr. Wimbley
Mr. Winfield
Mr. Zörker
Mugger
Munchie
Muntu
Murray Bernstein
Nabendu Nahasapeemapetilon
Nasty J
Ned Springfield
Neil
Nick
Nick Callahan
Nick Fury
Nick Park
Nicky Bluepants Altosaxophony
Nigel Bakerbutcher
Noah Spuckler
Normal Head Joe Spuckler
Nuclear Physics Professor
Officer Joe
Officer Krackney
Old Dad
Old King Coal
Onus Quimby
Optimus Prime
Optometrist
Original Alfalfa
Osama
Oscar De La Hoya
Otis
Otto Graycomb
Patrick Farally
Paul Anka
Paul McCartney
Pépé Bouvier
Peter Frampton
Peter Griffin
Phil McGraw
Plácido Domingo
Prince Charles
Prince Olaf of Norway
Professor Lombardo
Race Banyon
Ray Magini
Red Barclay
Rich Moore
Richard Nixon
Rob Oliver
Robert Goulet
Robert Terwilliger
Rodney Dangerfield
Roger Meyers, Sr.
Roger Meyers, Jr.
Ron Howard
Royce Lumpkin
Rupert Murdoch
Russ Cargill
Sanjay Nahasapeemapetilon
Saul Bellow
Scott Christian
Sideshow Blob
Simon Cowell
Smash Diggins
Snake Jailbird
Stan Lee
Stan Marsh
Stanley Kubrick
State Comptroller Atkins
Stefane August
Stephen Hawking
Steve Mobbs
Steven Dean Moore
Stretch Dude
Ted Nugent
Timmy O'Toole
Timothy Lovejoy, Sr.
Tobias Drundridge
Tom Brokaw
Tom Gammel
Tom O'Flanagan
Tony Bennett
Tony Blair
Tony Hawk
Troy McClure
Victor Bouvier
Victor Bouvier II
W. E. Moerner
Wade Boggs
Wainwright Montgomery Burns
Wally Kogen
Walter Hotenhoffer
Wendell Borton
William MacDougal II
Wolfgang Amadeus Mozart
Yao Ming
Zeph Burns
