95	14	Lisa vs. Malibu Stacy	2824	http://simpsons.wikia.com/wiki/Lisa_vs._Malibu_Stacy
96	15	Deep Space Homer	2747	http://simpsons.wikia.com/wiki/Deep_Space_Homer
97	16	Homer Loves Flanders	2825	http://simpsons.wikia.com/wiki/Homer_Loves_Flanders
98	17	Bart Gets an Elephant	2735	http://simpsons.wikia.com/wiki/Bart_Gets_an_Elephant
99	18	Burns' Heir	1908	http://simpsons.wikia.com/wiki/Burns%27_Heir
100	19	Sweet Seymour Skinner's Baadasssss Song	1907	http://simpsons.wikia.com/wiki/Sweet_Seymour_Skinner%27s_Baadasssss_Song
101	20	The Boy Who Knew Too Much	2826	http://simpsons.wikia.com/wiki/The_Boy_Who_Knew_Too_Much
102	21	Lady Bouvier's Lover	2827	http://simpsons.wikia.com/wiki/Lady_Bouvier%27s_Lover
103	22	Secrets of a Successful Marriage	1964	http://simpsons.wikia.com/wiki/Secrets_of_a_Successful_Marriage
104	1	Bart of Darkness	2289	http://simpsons.wikia.com/wiki/Bart_of_Darkness
105	2	Lisa's Rival	2828	http://simpsons.wikia.com/wiki/Lisa%27s_Rival
106	3	Another Simpsons Clip Show	2829	http://simpsons.wikia.com/wiki/Another_Simpsons_Clip_Show
107	4	Itchy & Scratchy Land	2466	http://simpsons.wikia.com/wiki/Itchy_%26_Scratchy_Land
108	5	Sideshow Bob Roberts	2830	http://simpsons.wikia.com/wiki/Sideshow_Bob_Roberts
109	6	Treehouse of Horror V	2100	http://simpsons.wikia.com/wiki/Treehouse_of_Horror_V
110	7	Bart's Girlfriend	2831	http://simpsons.wikia.com/wiki/Bart%27s_Girlfriend
111	8	Lisa on Ice	1911	http://simpsons.wikia.com/wiki/Lisa_on_Ice
112	9	Homer Badman	2833	http://simpsons.wikia.com/wiki/Homer_Badman
113	10	Grampa vs. Sexual Inadequacy	2727	http://simpsons.wikia.com/wiki/Grampa_vs._Sexual_Inadequacy
114	11	Fear of Flying	1912	http://simpsons.wikia.com/wiki/Fear_of_Flying
115	12	Homer the Great	2832	http://simpsons.wikia.com/wiki/Homer_the_Great
116	13	And Maggie Makes Three	2834	http://simpsons.wikia.com/wiki/And_Maggie_Makes_Three
117	14	Bart's Comet	1909	http://simpsons.wikia.com/wiki/Bart%27s_Comet
118	15	Homie the Clown	1904	http://simpsons.wikia.com/wiki/Homie_the_Clown
119	16	Bart vs. Australia	2088	http://simpsons.wikia.com/wiki/Bart_vs._Australia
120	17	Homer vs. Patty and Selma	2835	http://simpsons.wikia.com/wiki/Homer_vs._Patty_and_Selma
121	18	A Star Is Burns	1709	http://simpsons.wikia.com/wiki/A_Star_is_Burns
122	19	Lisa's Wedding	2836	http://simpsons.wikia.com/wiki/Lisa%27s_Wedding
123	20	Two Dozen and One Greyhounds	2837	http://simpsons.wikia.com/wiki/Two_Dozen_and_One_Greyhounds
124	21	The PTA Disbands	2838	http://simpsons.wikia.com/wiki/The_PTA_Disbands
125	22	Round Springfield	2068	http://simpsons.wikia.com/wiki/%27Round_Springfield
126	23	The Springfield Connection	2839	http://simpsons.wikia.com/wiki/The_Springfield_Connection
127	24	Lemon of Troy	1910	http://simpsons.wikia.com/wiki/Lemon_of_Troy
128	25	Who Shot Mr. Burns? (Part One)	1931	http://simpsons.wikia.com/wiki/Who_Shot_Mr._Burns%3F_(Part_One)
129	1	Who Shot Mr. Burns? (Part Two)	2057	http://simpsons.wikia.com/wiki/Who_Shot_Mr._Burns%3F_(Part_Two)
130	2	Radioactive Man	46475	http://simpsons.wikia.com/wiki/Radioactive_Man
131	3	Home Sweet Homediddly-Dum-Doodily	2841	http://simpsons.wikia.com/wiki/Home_Sweet_Homediddly-Dum-Doodily
132	4	Bart Sells His Soul	2842	http://simpsons.wikia.com/wiki/Bart_Sells_His_Soul
133	5	Lisa the Vegetarian	2843	http://simpsons.wikia.com/wiki/Lisa_the_Vegetarian
134	6	Treehouse of Horror VI	2844	http://simpsons.wikia.com/wiki/Treehouse_of_Horror_VI
135	7	King-Size Homer	2845	http://simpsons.wikia.com/wiki/King-Size_Homer
136	8	Mother Simpson	2846	http://simpsons.wikia.com/wiki/Mother_Simpson
137	9	Sideshow Bob's Last Gleaming	2847	http://simpsons.wikia.com/wiki/Sideshow_Bob%27s_Last_Gleaming
138	10	The Simpsons 138th Episode Spectacular	2660	http://simpsons.wikia.com/wiki/The_Simpsons_138th_Episode_Spectacular
139	11	Marge Be Not Proud	2848	http://simpsons.wikia.com/wiki/Marge_Be_Not_Proud
140	12	Team Homer	2500	http://simpsons.wikia.com/wiki/Team_Homer
141	13	Two Bad Neighbors	2914	http://simpsons.wikia.com/wiki/Two_Bad_Neighbors
142	14	Scenes from the Class Struggle in Springfield	2996	http://simpsons.wikia.com/wiki/Scenes_from_the_Class_Struggle_in_Springfield
143	15	Bart the Fink	3601	http://simpsons.wikia.com/wiki/Bart_the_Fink
144	16	Lisa the Iconoclast	3365	http://simpsons.wikia.com/wiki/Lisa_the_Iconoclast
145	17	Homer the Smithers	1948	http://simpsons.wikia.com/wiki/Homer_the_Smithers
146	18	The Day the Violence Died	1913	http://simpsons.wikia.com/wiki/The_Day_the_Violence_Died
