2237	Treehouse of Horror XV	http://simpsons.wikia.com/wiki/Treehouse_of_Horror_XV
2250	Jonathan Frink	http://simpsons.wikia.com/wiki/Jonathan_Frink
2254	The Itchy & Scratchy & Poochie Show	http://simpsons.wikia.com/wiki/The_Itchy_%26_Scratchy_%26_Poochie_Show
2284	Joe Quimby	http://simpsons.wikia.com/wiki/Joe_Quimby
2285	The Simpsons Movie	http://simpsons.wikia.com/wiki/The_Simpsons_Movie
2294	Helen Lovejoy	http://simpsons.wikia.com/wiki/Helen_Lovejoy
2298	Melvin Van Horne	http://simpsons.wikia.com/wiki/Melvin_Van_Horne
2302	Rainier Wolfcastle	http://simpsons.wikia.com/wiki/Rainier_Wolfcastle
2303	Hans Moleman	http://simpsons.wikia.com/wiki/Hans_Moleman
2304	Disco Stu	http://simpsons.wikia.com/wiki/Disco_Stu
2306	McBain	http://simpsons.wikia.com/wiki/McBain
2311	Poppa's Got a Brand New Badge	http://simpsons.wikia.com/wiki/Poppa%27s_Got_a_Brand_New_Badge
2327	123 Fake Street	http://simpsons.wikia.com/wiki/123_Fake_Street
2344	Jebediah Springfield	http://simpsons.wikia.com/wiki/Jebediah_Springfield
2357	Julius Hibbert	http://simpsons.wikia.com/wiki/Julius_Hibbert
2358	Agnes Skinner	http://simpsons.wikia.com/wiki/Agnes_Skinner
2359	The Itchy & Scratchy Show	http://simpsons.wikia.com/wiki/The_Itchy_%26_Scratchy_Show
2360	Snake Jailbird	http://simpsons.wikia.com/wiki/Snake_Jailbird
2361	Pie Man	http://simpsons.wikia.com/wiki/Pie_Man
2363	Gravedigger Billy	http://simpsons.wikia.com/wiki/Gravedigger_Billy
2366	Cyrus Simpson	http://simpsons.wikia.com/wiki/Cyrus_Simpson
2374	Jasper Beardly	http://simpsons.wikia.com/wiki/Jasper_Beardly
2375	Martin Prince	http://simpsons.wikia.com/wiki/Martin_Prince
2376	Sherri and Terri	http://simpsons.wikia.com/wiki/Sherri_and_Terri
2377	Troy McClure	http://simpsons.wikia.com/wiki/Troy_McClure
2379	LGBT characters	http://simpsons.wikia.com/wiki/LGBT_characters
2380	Ling Bouvier	http://simpsons.wikia.com/wiki/Ling_Bouvier
2382	Jeremy Freedman	http://simpsons.wikia.com/wiki/Jeremy_Freedman
2383	The Gilded Truffle	http://simpsons.wikia.com/wiki/The_Gilded_Truffle
2415	Space Mutants	http://simpsons.wikia.com/wiki/Space_Mutants
2419	Herbert Powell	http://simpsons.wikia.com/wiki/Herbert_Powell
2420	Uncle Moe's Family Feedbag	http://simpsons.wikia.com/wiki/Uncle_Moe%27s_Family_Feedbag
2429	Jessica Lovejoy	http://simpsons.wikia.com/wiki/Jessica_Lovejoy
2430	Birch Barlow	http://simpsons.wikia.com/wiki/Birch_Barlow
2436	Lewis Clark	http://simpsons.wikia.com/wiki/Lewis_Clark
2437	Richard	http://simpsons.wikia.com/wiki/Richard
2445	Manjula Nahasapeemapetilon	http://simpsons.wikia.com/wiki/Manjula_Nahasapeemapetilon
